slug,country,iso,url,language,instrument,category,requires_headless,content_type,issue_ref,notes,status
saudi_arabia,Saudi Arabia,SAU,,,,unknown,false,html,,WHO member placeholder,done
senegal,Senegal,SEN,,,,unknown,false,html,,WHO member placeholder,todo
serbia,Serbia,SRB,,,,unknown,false,html,,WHO member placeholder,todo
seychelles,Seychelles,SYC,,,,unknown,false,html,,WHO member placeholder,todo
sierra_leone,Sierra Leone,SLE,,,,unknown,false,html,,WHO member placeholder,todo
singapore,Singapore,SGP,,,,unknown,false,html,,WHO member placeholder,done
sint_maarten,Sint Maarten,SXM,,,,unknown,false,html,,WHO member placeholder,todo
slovakia,Slovakia,SVK,,,,unknown,false,html,,WHO member placeholder,todo
slovenia,Slovenia,SVN,,,,unknown,false,html,,WHO member placeholder,todo
solomon_islands,Solomon Islands,SLB,,,,unknown,false,html,,WHO member placeholder,todo
somalia,Somalia,SOM,,,,unknown,false,html,,WHO member placeholder,todo
south_africa,South Africa,ZAF,,,,unknown,false,html,,WHO member placeholder,done
south_georgia,South Georgia,SGS,,,,unknown,false,html,,WHO member placeholder,todo
south_korea,South Korea,KOR,,,,unknown,false,html,,WHO member placeholder,done
south_sudan,South Sudan,SSD,,,,unknown,false,html,,WHO member placeholder,todo
spain,Spain,ESP,,,,unknown,false,html,,WHO member placeholder,done
sri_lanka,Sri Lanka,LKA,,,,unknown,false,html,,WHO member placeholder,todo
sudan,Sudan,SDN,,,,unknown,false,html,,WHO member placeholder,todo
suriname,Suriname,SUR,,,,unknown,false,html,,WHO member placeholder,todo
svalbard_and_jan_mayen,Svalbard and Jan Mayen,SJM,,,,unknown,false,html,,WHO member placeholder,todo
sweden,Sweden,SWE,,,,unknown,false,html,,WHO member placeholder,done
switzerland,Switzerland,CHE,,,,unknown,false,html,,WHO member placeholder,todo
syria,Syria,SYR,,,,unknown,false,html,,WHO member placeholder,todo
são_tomé_and_príncipe,São Tomé and Príncipe,STP,,,,unknown,false,html,,WHO member placeholder,todo
taiwan,Taiwan,TWN,,,,unknown,false,html,,WHO member placeholder,todo
tajikistan,Tajikistan,TJK,,,,unknown,false,html,,WHO member placeholder,todo
tanzania,Tanzania,TZA,,,,unknown,false,html,,WHO member placeholder,todo
thailand,Thailand,THA,,,,unknown,false,html,,WHO member placeholder,done
timor-leste,Timor-Leste,TLS,,,,unknown,false,html,,WHO member placeholder,todo
togo,Togo,TGO,,,,unknown,false,html,,WHO member placeholder,todo
tokelau,Tokelau,TKL,,,,unknown,false,html,,WHO member placeholder,todo
tonga,Tonga,TON,,,,unknown,false,html,,WHO member placeholder,todo
trinidad_and_tobago,Trinidad and Tobago,TTO,,,,unknown,false,html,,WHO member placeholder,done
tunisia,Tunisia,TUN,,,,unknown,false,html,,WHO member placeholder,todo
turkey,Turkey,TUR,,,,unknown,false,html,,WHO member placeholder,done
turkmenistan,Turkmenistan,TKM,,,,unknown,false,html,,WHO member placeholder,todo
turks_and_caicos_islands,Turks and Caicos Islands,TCA,,,,unknown,false,html,,WHO member placeholder,todo
tuvalu,Tuvalu,TUV,,,,unknown,false,html,,WHO member placeholder,todo
uganda,Uganda,UGA,,,,unknown,false,html,,WHO member placeholder,todo
ukraine,Ukraine,UKR,,,,unknown,false,html,,WHO member placeholder,todo
united_arab_emirates,United Arab Emirates,ARE,,,,unknown,false,html,,WHO member placeholder,todo
united_kingdom,United Kingdom,GBR,,,,unknown,false,html,,WHO member placeholder,todo
united_states,United States,USA,,,,unknown,false,html,,WHO member placeholder,todo
united_states_minor_outlying_islands,United States Minor Outlying Islands,UMI,,,,unknown,false,html,,WHO member placeholder,todo
united_states_virgin_islands,United States Virgin Islands,VIR,,,,unknown,false,html,,WHO member placeholder,todo
uruguay,Uruguay,URY,,,,unknown,false,html,,WHO member placeholder,todo
uzbekistan,Uzbekistan,UZB,,,,unknown,false,html,,WHO member placeholder,todo
vanuatu,Vanuatu,VUT,,,,unknown,false,html,,WHO member placeholder,todo
vatican_city,Vatican City,VAT,,,,unknown,false,html,,WHO member placeholder,todo
venezuela,Venezuela,VEN,,,,unknown,false,html,,WHO member placeholder,todo
vietnam,Vietnam,VNM,,,,unknown,false,html,,WHO member placeholder,todo
wallis_and_futuna,Wallis and Futuna,WLF,,,,unknown,false,html,,WHO member placeholder,todo
western_sahara,Western Sahara,ESH,,,,unknown,false,html,,WHO member placeholder,todo
yemen,Yemen,YEM,,,,unknown,false,html,,WHO member placeholder,todo
zambia,Zambia,ZMB,,,,unknown,false,html,,WHO member placeholder,todo
zimbabwe,Zimbabwe,ZWE,,,,unknown,false,html,,WHO member placeholder,todo
åland_islands,Åland Islands,ALA,,,,unknown,false,html,,WHO member placeholder,todo
